,reward,len,score,turns,dlvl,max_hitpoints,max_energy,armor_class,experience_level,experience_points,eating_score,gold_score,scout_score,sokobanfillpit_score,staircase_pet_score,staircase_score,episode_number,true_objective
150,3223.0,24212.0,3223,16581,1,54,38,-4,7,795,16122,13,498,0,2,69,0,3223.0
151,4289.0,32877.0,4289,19459,1,40,38,1,7,1057,19455,335,542,0,18,155,0,4289.0
152,1419.0,9047.0,1419,5311,3,48,38,10,6,322,4328,31,1167,0,1,5,1,1419.0
153,60.0,1132.0,60,556,1,14,4,4,1,15,691,0,550,0,0,0,0,60.0
154,10209.0,38169.0,10209,26150,4,60,49,7,8,1285,24956,435,2293,0,12,66,0,10209.0
155,3179.0,19013.0,3179,13754,1,63,39,1,7,793,13304,7,568,0,5,58,1,3179.0
156,6192.0,41852.0,6192,25154,3,61,55,1,8,1482,24788,526,1290,0,50,133,0,6192.0
157,2522.0,15965.0,2522,10857,1,49,39,3,6,327,9598,6,458,0,0,14,1,2522.0
158,9031.0,42670.0,9031,28245,4,60,40,3,8,2181,28766,245,2135,0,28,127,0,9031.0
159,3357.0,33297.0,3357,19147,1,60,38,6,7,813,19138,263,728,0,0,20,1,3357.0
160,7349.0,42722.0,7349,25477,2,64,39,7,8,1325,24208,159,1128,0,8,17,0,7349.0
161,2051.0,16842.0,2051,10670,1,44,31,2,6,509,10854,5,422,0,11,104,1,2051.0
162,10614.0,35131.0,10614,21984,3,82,56,1,9,2587,21293,150,2231,0,0,67,0,10614.0
163,1532.0,13545.0,1532,10761,1,51,38,3,6,380,10384,12,686,0,6,22,1,1532.0
164,5434.0,31416.0,5434,20300,1,49,47,4,8,1350,20010,34,624,0,0,52,0,5434.0
165,17694.0,43092.0,17694,21151,5,67,47,2,9,4226,21317,658,2222,0,0,58,0,17694.0
166,2788.0,16993.0,2788,12374,1,46,43,1,7,665,11820,28,1575,0,0,36,1,2788.0
167,3100.0,20102.0,3100,14980,1,60,40,4,7,775,14630,18,557,0,3,23,1,3100.0
168,11607.0,44905.0,11607,30442,3,69,56,1,9,2820,29870,513,1745,0,4,25,0,11607.0
169,15110.0,46009.0,15110,34677,3,75,53,5,9,3721,34233,1536,2485,0,10,98,0,15110.0
170,4764.0,27313.0,4764,19741,1,46,35,0,7,1191,18193,42,659,0,9,44,0,4764.0
171,1954.0,12431.0,1954,8921,1,47,38,4,6,485,7674,4,655,0,0,1,0,1954.0
172,2083.0,15690.0,2083,11407,1,43,27,3,6,519,10201,7,535,0,6,68,0,2083.0
173,0.0,217.0,0,5,1,14,5,4,1,0,0,0,77,0,0,0,1,0.0
174,4850.0,24082.0,4850,15384,1,53,43,4,7,664,14237,166,660,0,0,107,1,4850.0
175,11967.0,47468.0,11967,26903,3,77,51,1,9,2868,28194,719,1758,0,3,40,0,11967.0
176,8594.0,39218.0,8594,22714,7,61,41,3,8,2000,21980,254,2676,0,0,72,0,8594.0
177,4397.0,25442.0,4397,19152,1,42,39,2,7,1085,18297,121,682,0,17,90,1,4397.0
178,11740.0,49004.0,11740,32589,1,68,50,5,9,2601,30877,568,1777,0,16,237,0,11740.0
179,12917.0,55130.0,12917,29871,3,78,50,1,9,3112,28563,517,1666,0,0,175,0,12917.0
180,6513.0,33084.0,6513,23750,4,46,44,4,8,1542,22898,551,1782,0,37,125,1,6513.0
181,4666.0,31139.0,4666,18063,1,54,29,-3,7,1164,17360,218,589,0,27,78,1,4666.0
182,9354.0,36174.0,9354,24689,4,59,51,2,8,2276,24560,100,2030,0,9,94,0,9354.0
183,606.0,6029.0,606,4923,1,32,35,4,4,151,4216,2,593,0,0,23,0,606.0
184,7714.0,36643.0,7714,25219,4,66,27,4,8,1874,24613,1636,1775,0,8,48,0,7714.0
185,1346.0,36776.0,1346,26730,1,46,42,3,6,334,25170,820,513,0,10,41,0,1346.0
186,9953.0,49304.0,9953,25678,3,62,50,4,8,2445,25663,2037,1793,0,0,64,1,9953.0
187,5218.0,30110.0,5218,18800,1,63,39,-1,8,1302,18825,56,481,0,5,72,0,5218.0
188,5200.0,30312.0,5200,20784,1,55,47,3,7,1241,19999,924,478,0,11,109,0,5200.0
189,6575.0,28860.0,6575,20169,2,66,39,2,8,1580,19786,239,904,0,0,18,1,6575.0
190,3919.0,23582.0,3919,15312,1,63,39,4,7,967,15419,51,454,0,1,67,1,3919.0
191,2616.0,25107.0,2616,16312,1,13,34,7,7,654,15055,0,643,0,2,5,0,2616.0
192,2120.0,25200.0,2120,6883,3,37,41,4,6,497,6893,24,999,0,0,5,0,2120.0
193,7861.0,32946.0,7864,18542,3,57,40,4,8,1822,17876,1059,1586,0,0,20,1,7861.0
194,15294.0,49634.0,15294,28920,4,65,65,0,9,4302,29678,3516,2900,0,3,78,0,15294.0
195,4312.0,38692.0,4312,18113,1,47,47,3,7,1078,17114,34,593,0,2,47,1,4312.0
196,4386.0,26037.0,4386,16792,1,65,30,2,7,1089,16321,20,574,0,0,78,1,4386.0
197,858.0,7043.0,858,4511,1,34,30,1,5,212,4244,10,545,0,6,11,1,858.0
198,2267.0,16027.0,2267,11180,1,46,43,3,6,563,10934,5,488,0,0,27,1,2267.0
199,2792.0,20766.0,2792,14209,1,42,40,3,7,667,13485,124,551,0,5,34,1,2792.0
200,2092.0,15252.0,2092,12842,1,34,30,3,5,319,10643,12,607,0,5,20,0,2092.0
201,15224.0,62786.0,15224,33014,6,72,66,1,9,3627,32136,724,3178,0,9,70,0,15224.0
202,734.0,6907.0,734,5381,1,40,27,5,5,181,4694,10,596,0,1,45,0,734.0
203,8710.0,36656.0,8710,23386,2,60,45,6,8,1700,22313,2480,857,0,24,124,1,8710.0
204,4197.0,28120.0,4197,14407,1,46,37,2,7,1039,14150,57,373,0,13,95,1,4197.0
205,2054.0,15697.0,2054,9866,1,36,40,4,6,510,9211,14,662,0,0,18,0,2054.0
206,4330.0,28447.0,4330,18952,1,56,56,3,7,1080,18573,112,669,0,31,129,1,4330.0
207,8694.0,42353.0,8694,26344,2,55,44,2,8,2146,25915,2188,2158,0,7,70,1,8694.0
208,968.0,9983.0,968,6892,1,46,33,3,5,242,6311,0,493,0,1,6,1,968.0
209,17194.0,43080.0,17194,24748,6,82,47,0,10,5262,24798,754,3953,0,0,64,1,17194.0
210,7314.0,38713.0,7314,24631,5,60,51,3,8,1755,23964,84,1699,0,8,111,1,7314.0
211,2526.0,16730.0,2526,13326,1,44,38,3,6,626,11787,12,574,0,9,14,1,2526.0
212,1604.0,13145.0,1604,10572,1,39,28,3,5,271,9247,12,655,0,0,2,1,1604.0
213,4314.0,20364.0,4314,14918,1,50,37,3,7,1072,14373,64,534,0,0,37,0,4314.0
214,2213.0,17829.0,2213,13941,1,43,31,4,6,551,12402,9,588,0,41,66,1,2213.0
215,9780.0,34366.0,9780,18256,3,78,41,0,8,2359,18019,910,2676,0,0,60,1,9780.0
216,2224.0,17461.0,2224,13410,1,35,26,3,5,319,11771,10,541,0,14,42,1,2224.0
217,4188.0,25362.0,4188,18236,1,57,27,3,7,1047,17529,96,592,0,22,108,1,4188.0
218,840.0,6876.0,840,5172,1,41,35,3,5,184,4626,104,489,0,10,17,1,840.0
219,12794.0,38174.0,12794,23460,3,56,51,2,9,3099,22433,636,2166,0,3,74,1,12794.0
220,4667.0,29191.0,4667,16652,1,48,36,2,7,1161,16281,23,590,0,0,18,1,4667.0
221,4961.0,38857.0,4961,21761,1,38,43,3,6,639,20764,67,637,0,45,56,1,4961.0
222,6835.0,30290.0,6835,19827,3,65,46,3,8,1668,19676,63,1151,0,4,33,1,6835.0
223,5622.0,30182.0,5622,20283,1,59,43,2,8,1391,19130,48,549,0,42,103,1,5622.0
224,3140.0,27078.0,3140,18054,1,51,43,1,7,780,17128,72,586,0,3,24,1,3140.0
225,7594.0,32905.0,7594,22499,3,65,37,-1,8,1865,21105,186,1746,0,0,33,1,7594.0
226,6385.0,31027.0,6385,15709,4,67,43,3,8,1551,15138,385,2073,0,0,29,1,6385.0
227,839.0,9341.0,839,6946,1,37,40,3,5,208,6742,7,434,0,1,2,1,839.0
228,2238.0,21253.0,2238,14729,1,37,28,3,5,319,13287,868,532,0,4,27,0,2238.0
229,11816.0,35900.0,11816,23563,7,82,45,-1,9,2805,22742,514,2583,0,4,89,1,11816.0
230,888.0,9528.0,888,7906,1,27,18,3,3,79,6040,572,520,0,1,14,1,888.0
231,7192.0,47186.0,7192,29072,3,76,41,-2,8,1750,28684,716,1684,0,29,112,1,7192.0
232,6099.0,36126.0,6099,20265,1,66,53,2,8,1520,20052,93,685,0,4,110,1,6099.0
233,16063.0,44483.0,16063,28410,7,61,62,2,9,3873,28056,1409,3160,0,12,79,1,16063.0
234,3026.0,21056.0,3026,15035,1,50,28,-4,7,754,15158,36,615,0,2,23,1,3026.0
235,4136.0,22823.0,4136,15592,1,53,43,4,7,1025,15127,36,607,0,0,70,0,4136.0
236,6749.0,49416.0,6749,31388,1,69,33,4,8,1293,29758,995,444,0,2,7,1,6749.0
237,6907.0,32061.0,6907,20044,3,56,54,2,8,1669,19241,325,1294,0,3,51,1,6907.0
238,5732.0,26469.0,5732,15079,3,74,42,3,8,1354,14834,296,1583,0,0,24,1,5732.0
239,8844.0,32433.0,8844,20967,3,64,41,3,8,2128,20302,222,1687,0,0,25,1,8844.0
240,7336.0,28882.0,7336,19923,4,63,57,2,8,1758,19029,242,2328,0,16,49,1,7336.0
241,16414.0,51471.0,16414,35737,3,79,54,3,9,4044,35303,1710,1776,0,28,146,1,16414.0
242,1655.0,13218.0,1655,10410,1,51,42,2,6,410,8486,5,475,0,4,65,1,1655.0
243,11657.0,42181.0,11657,29396,3,58,49,4,9,2872,29223,183,1729,0,15,53,0,11657.0
244,3880.0,26322.0,3882,19195,1,64,47,3,7,968,18086,38,441,0,1,119,1,3880.0
245,2694.0,24963.0,2694,12488,1,48,59,6,7,672,12212,6,542,0,9,61,1,2694.0
246,772.0,7808.0,772,6009,1,35,35,3,5,193,5330,920,521,0,4,43,0,772.0
247,8127.0,43010.0,8127,26842,3,70,44,5,8,1970,26640,189,1497,0,3,50,0,8127.0
248,5753.0,32170.0,5753,22194,2,51,44,4,8,1304,21120,205,1023,0,1,10,1,5753.0
249,762.0,8951.0,762,6661,1,43,29,3,5,175,5916,12,997,0,8,24,0,762.0
250,4940.0,25157.0,4940,17613,1,47,40,-4,7,1195,17128,50,1597,0,20,59,1,4940.0
251,3623.0,22795.0,3623,16654,1,41,41,3,7,900,16130,845,528,0,81,155,1,3623.0
252,8234.0,24435.0,8234,15278,4,64,49,-4,8,2021,15011,602,2471,0,4,40,0,8234.0
253,1947.0,14084.0,1947,11471,2,46,23,3,6,466,10589,33,1254,0,13,41,1,1947.0
254,3828.0,24991.0,3828,17713,1,54,40,3,7,957,17106,916,626,0,4,47,0,3828.0
255,5592.0,31021.0,5592,21485,2,58,46,3,8,1345,21212,206,655,0,11,93,1,5592.0
256,844.0,7904.0,844,6040,1,42,23,4,5,211,5418,0,431,0,5,7,0,844.0
257,1149.0,10052.0,1149,7922,1,30,36,3,5,283,6780,7,551,0,0,3,0,1149.0
258,6919.0,34578.0,6919,21884,2,64,39,-1,8,1690,22007,279,1119,0,7,80,0,6919.0
259,15259.0,45151.0,15259,30492,2,67,64,3,9,3691,29557,825,2061,0,0,77,0,15259.0
260,5263.0,37644.0,5263,20993,1,62,42,-1,8,1308,20196,187,531,0,1,46,1,5263.0
261,7523.0,38355.0,7523,22574,2,73,43,-1,8,1854,21517,77,1026,0,5,65,1,7523.0
262,6041.0,25506.0,6041,16743,4,54,37,4,8,1444,16519,115,1736,0,0,25,0,6041.0
263,6886.0,35561.0,6888,20127,1,70,61,3,8,1715,19426,26,405,0,0,53,0,6886.0
264,6684.0,30155.0,6684,20464,2,63,40,3,8,1289,19058,488,1882,0,0,89,1,6684.0
265,3902.0,26401.0,3904,16298,1,60,37,1,7,973,15660,10,541,0,2,41,0,3902.0
266,9677.0,36751.0,9677,22000,3,57,44,9,8,2382,21605,1173,1645,0,3,103,1,9677.0
267,5817.0,34449.0,5817,23162,2,68,52,3,8,1429,22347,157,932,0,12,28,1,5817.0
268,193.0,1920.0,193,1891,1,29,13,3,3,46,480,9,692,0,0,0,1,193.0
269,15775.0,48231.0,15775,32752,2,80,58,3,9,3784,32780,741,3945,0,1,54,0,15775.0
270,3064.0,21190.0,3064,16011,1,63,52,0,7,759,15144,40,495,0,9,36,0,3064.0
271,3311.0,28050.0,3311,18753,1,51,44,3,7,826,18360,7,507,0,0,3,0,3311.0
272,15962.0,39119.0,15962,24916,3,71,40,1,9,3056,24486,10038,1528,0,0,50,1,15962.0
273,1115.0,11385.0,1115,8727,1,41,33,3,5,277,7961,7,615,0,4,17,0,1115.0
