"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"162","5710","32770","5710","19472","2","65","39","1","8","1415","19304","56","1106","0","3","53","nle.2693401.9.ttyrec3.bz2","9","5710","2","Mon","Hum","Mal","Neu","quit"
"163","324","3430","324","2627","1","31","20","3","4","81","2385","0","652","0","5","8","nle.2693394.15.ttyrec3.bz2","15","324","1","Mon","Hum","Mal","Neu","quit"
"164","2225","20837","2225","15531","1","10","36","6","6","330","13473","9","519","0","53","128","nle.2693396.7.ttyrec3.bz2","7","2225","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"165","10062","41779","10062","27249","3","62","31","1","8","2454","26498","206","1427","0","13","112","nle.2693389.10.ttyrec3.bz2","10","10062","3","Mon","Hum","Mal","Neu","poisoned by a rotted elf corpse while helpless"
"166","14003","53509","14003","30307","3","68","56","1","9","3435","30315","1515","2101","0","9","116","nle.2693398.11.ttyrec3.bz2","11","14003","3","Mon","Hum","Mal","Neu","killed by a Woodland-elf"
"167","1915","15868","1915","11440","1","40","36","3","6","477","9810","7","549","0","1","12","nle.2693395.12.ttyrec3.bz2","12","1915","1","Mon","Hum","Mal","Neu","killed by a dwarf zombie while fainted from lack of food"
"168","1107","3901","1107","1843","6","39","39","3","5","181","1364","83","1612","0","1","21","nle.2693401.10.ttyrec3.bz2","10","1107","7","Mon","Hum","Mal","Neu","killed by a werewolf"
"169","2937","25666","2937","20347","1","66","44","3","7","727","19566","19","652","0","62","148","nle.2693393.12.ttyrec3.bz2","12","2937","1","Mon","Hum","Mal","Neu","poisoned by a rotted giant rat corpse"
"170","20","165","20","27","1","16","4","4","1","5","0","0","42","0","0","0","nle.2693393.13.ttyrec3.bz2","13","20","1","Mon","Hum","Mal","Neu","killed by a falling rock"
"171","1239","8852","1239","6150","2","37","27","4","5","286","5395","45","1051","0","5","11","nle.2693397.15.ttyrec3.bz2","15","1239","2","Mon","Hum","Mal","Neu","killed by Yeenoghu while being terrified of a demon"
"172","1246","14008","1246","8099","1","41","25","3","5","307","7204","8","637","0","0","0","nle.2693390.9.ttyrec3.bz2","9","1246","1","Mon","Hum","Mal","Neu","killed by an iguana while fainted from lack of food"
"173","3166","21710","3166","16924","1","48","43","0","7","640","14908","40","634","0","2","5","nle.2693391.7.ttyrec3.bz2","7","3166","1","Mon","Hum","Mal","Neu","killed by a hobbit while fainted from lack of food"
"174","568","4574","568","3479","1","35","16","0","4","138","3166","16","543","0","2","4","nle.2693390.10.ttyrec3.bz2","10","568","1","Mon","Hum","Mal","Neu","poisoned by a rotted gnome corpse"
"175","5970","26589","5970","16454","2","48","46","4","8","1454","15621","124","1069","0","0","100","nle.2693399.9.ttyrec3.bz2","9","5970","2","Mon","Hum","Mal","Neu","killed by Ms. Wonotobo; the shopkeeper"
"176","4422","20061","4422","14503","1","62","55","-4","7","1103","13989","160","637","0","0","12","nle.2693388.11.ttyrec3.bz2","11","4422","1","Mon","Hum","Mal","Neu","quit"
"177","1768","13133","1768","9359","1","44","34","10","6","442","8381","0","619","0","0","5","nle.2693389.11.ttyrec3.bz2","11","1768","1","Mon","Hum","Mal","Neu","killed by a large kobold while fainted from lack of food"
"178","1530","12348","1530","9123","1","46","29","3","6","351","9034","126","560","0","1","68","nle.2693393.14.ttyrec3.bz2","14","1530","1","Mon","Hum","Mal","Neu","poisoned by a rotted garter snake corpse"
"179","11186","44494","11186","30168","4","68","60","2","9","2723","29563","442","1950","0","12","106","nle.2693387.9.ttyrec3.bz2","9","11186","4","Mon","Hum","Mal","Neu","killed by a white unicorn"
"180","705","8129","708","5841","1","36","31","4","5","171","5503","21","522","0","2","13","nle.2693389.12.ttyrec3.bz2","12","705","1","Mon","Hum","Mal","Neu","poisoned by a rotted brown mold corpse while helpless"
"181","1557","12734","1557","9802","1","51","44","10","6","383","8762","5","687","0","2","5","nle.2693399.10.ttyrec3.bz2","10","1557","1","Mon","Hum","Mal","Neu","killed by a hobgoblin while fainted from lack of food"
"182","5658","28598","5658","21595","1","63","52","5","8","1370","21676","168","650","0","2","84","nle.2693400.8.ttyrec3.bz2","8","5658","1","Mon","Hum","Mal","Neu","poisoned by a rotted giant bat corpse while helpless"
"183","3392","25270","3392","15205","1","53","39","1","7","843","14200","10","604","0","1","22","nle.2693395.13.ttyrec3.bz2","13","3392","1","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"184","9898","50340","9898","30317","2","61","49","2","8","2457","29862","1130","935","0","15","105","nle.2693392.10.ttyrec3.bz2","10","9898","2","Mon","Hum","Mal","Neu","quit"
"185","7517","30994","7517","18353","4","52","40","1","8","1789","17660","171","1982","0","0","16","nle.2693452.8.ttyrec3.bz2","8","7517","4","Mon","Hum","Mal","Neu","killed by an orc zombie"
"187","523","4998","523","3759","1","39","23","3","4","130","3298","3","550","0","1","9","nle.2693392.11.ttyrec3.bz2","11","523","1","Mon","Hum","Mal","Neu","quit"
"188","1142","9149","1142","6701","1","48","33","3","5","284","6249","6","483","0","5","24","nle.2693400.9.ttyrec3.bz2","9","1142","1","Mon","Hum","Mal","Neu","quit"
"189","2734","10983","2734","7321","5","46","48","5","6","629","6647","8","2517","0","7","40","nle.2693399.11.ttyrec3.bz2","11","2734","5","Mon","Hum","Mal","Neu","quit"
"190","9631","41001","9631","26017","2","48","59","4","8","2387","25530","1061","907","0","28","412","nle.2693394.16.ttyrec3.bz2","16","9631","2","Mon","Hum","Mal","Neu","killed by a wand"
"191","1530","16984","1530","14360","1","51","41","3","6","323","12325","6","629","0","4","10","nle.2693389.13.ttyrec3.bz2","13","1530","1","Mon","Hum","Mal","Neu","killed by a goblin while fainted from lack of food"
"192","5457","37835","5457","20498","1","63","45","3","8","1350","18875","57","496","0","6","107","nle.2693401.11.ttyrec3.bz2","11","5457","1","Mon","Hum","Mal","Neu","killed by a fox while fainted from lack of food"
"193","8930","42071","8930","24059","4","63","50","3","8","2146","23390","546","1760","0","15","109","nle.2693398.12.ttyrec3.bz2","12","8930","4","Mon","Hum","Mal","Neu","quit"
"194","1898","15000","1898","10240","1","47","27","4","6","472","9850","746","608","0","0","23","nle.2693392.12.ttyrec3.bz2","12","1898","1","Mon","Hum","Mal","Neu","poisoned by a rotted coyote corpse"
"195","8977","38368","8977","26643","3","64","48","0","8","2186","26227","275","1698","0","18","61","nle.2693391.8.ttyrec3.bz2","8","8977","3","Mon","Hum","Mal","Neu","quit"
"196","3604","19832","3604","13321","1","68","43","1","7","896","12588","16","643","0","3","25","nle.2693388.13.ttyrec3.bz2","13","3604","1","Mon","Hum","Mal","Neu","killed by a wand"
"198","4793","30344","4793","18362","1","54","46","1","7","1179","17408","97","653","0","7","99","nle.2693393.15.ttyrec3.bz2","15","4793","1","Mon","Hum","Mal","Neu","killed by a hill orc while fainted from lack of food"
"199","10165","39525","10165","29136","5","56","40","3","8","2393","27324","597","2465","0","9","35","nle.2693390.11.ttyrec3.bz2","11","10165","5","Mon","Hum","Mal","Neu","killed by an orc zombie while fainted from lack of food"
"200","16620","51816","16620","26110","6","72","48","1","9","3973","25762","860","3225","0","2","59","nle.2693396.8.ttyrec3.bz2","8","16620","6","Mon","Hum","Mal","Neu","quit"
